kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
6015;1155-1600;;CHN;PBS Xinjiang;KZ;CHN;uc;1;;
6015;1700-1800;;CHN;PBS Xinjiang;KZ;CHN;uc;1;;
6015;2320-0345;;CHN;PBS Xinjiang;KZ;CHN;uc;5;;
6015;2340-0300;;CHN;PBS Xinjiang;KZ;CHN;uc;4;;
6015;0350-2400;;KOR;KBS Hanminjok;K;FE;h;1;;[0816]
6015;0254-0600;;TZA;ZBC Radio;SWA;EAf;z;1;;[0816]
6020;1000-0400;;B;Rádio Gaúcha, P.Alegre;P;SAm;gb;3;;[0516]
6020;0000-0100;;CHN;China Radio Int.;E;ENA;/ALB-c;0;;
6020;0100-0200;;CHN;China Radio Int.;E;ENA;/ALB-c;0;;
6020;0200-0300;;CHN;China Radio Int.;M;ENA;/ALB-c;0;;
6020;0300-0400;;CHN;China Radio Int.;M;ENA;/ALB-c;0;;
6020;1830-1900;;CHN;China Radio Int.;BU;SEE;s;0;;
6020;1900-2000;;CHN;China Radio Int.;AL;SEE;s;0;;
6020;2000-2100;;CHN;China Radio Int.;PO;Eu;s;0;;
6020;0000-2400;Tests;PNG;NBC Bougainv. DIGITAL;TP;PNG;b;8;;
6020;0500-0710;;PNG;NBC Bougainville;TP;PNG;b;1;;[0616]
6020;1100-1900;;PNG;NBC Bougainville;TP;PNG;b;1;;[0216]
6020;1900-2200;;PNG;NBC Bougainville;TP;PNG;b;1;;
6020;2200-1530;;VTN;Voice of Vietnam 4;VN;VTN;b;1;;[0416]
6025;0410-0825;1Jan;BOL;Red Patria Nueva;S;BOL;;1;1512;0101
6025;0825-0410;;BOL;Red Patria Nueva;S;BOL;;1;;[0716]
6025;2300-2400;;CHN;China National Radio 11;TB;CHN;t;1;;
6025;2000-2100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
6025;0000-0200;;CHN;PBS Xizang;TB;CHN;t;1;;
6025;0200-0700;;CHN;PBS Xizang;TB;CHN;t;1;;
6025;0700-0800;We-Mo;CHN;PBS Xizang;E;CHN;t;1;;
6025;0800-1000;We-Mo;CHN;PBS Xizang;TB;CHN;t;1;;
6025;1000-1600;;CHN;PBS Xizang;TB;CHN;t;1;;
6025;1600-1700;;CHN;PBS Xizang;E;CHN;t;1;;
6025;1700-1805;;CHN;PBS Xizang;TB;CHN;t;1;;
6025;2050-2300;;CHN;PBS Xizang;TB;CHN;t;1;;
6025;1425-1455;;SWZ;Trans World Radio;E;ZWE;;4;;
6025;1455-1525;;SWZ;Trans World Radio;SHO;ZWE;;4;;
6025;1525-1555;SaSu;SWZ;Trans World Radio;E;ZWE;;4;;
6025;1525-1555;Mo-Fr;SWZ;Trans World Radio;NDE;ZWE;;4;;
6025;1555-1625;;SWZ;Trans World Radio;SHO;ZWE;;4;;
6025;2000-2100;;USA;Radio Free Asia;M;FE;/MRA-t;0;;
6030;0445-2000;;CAF;Radio ICDI, Baoli;Vn;CAF;bo;1;;
6030;0000-2400;;CAN;CFVP Calgary Funny AM;E;NAm;c;1;;[1115]
6030;0600-0900;We-Mo;CHN;China National Radio 1;M;CHN;b;1;;
6030;0900-1805;;CHN;China National Radio 1;M;CHN;b;1;;
6030;2023-0600;;CHN;China National Radio 1;M;CHN;b;1;;
6030;0255-0600;;ETH;Radio Oromiya;OO;EAf;;1;;[0316]
6030;0900-1100;;ETH;Radio Oromiya;OO;EAf;;1;;
6030;1430-2000;;ETH;Radio Oromiya;OO;EAf;;1;;[0816]
6030;0200-0230;;IND;AIR Delhi Uttarakhand;HI;SAs;k;1;;[1014]
6030;1215-1430;;IND;AIR Delhi Uttarakhand;HI;SAs;k;1;;[1014]
6030;0130-0200;;MYA;Thazin Radio;E;SEA;p;1;;[0116]
6030;2330-0130;;MYA;Thazin Radio;BR;SEA;p;1;;[0416]
6030;0000-1200;;USA;Radio Marti;S;CUB;g;0;;
6033.6;2200-1530;;VTN;VoV Spur from 6020;Vn;VTN;b;1;;[0416]
6035;0000-0300;;BTN;Bhutan BS;DZ;BTN;;1;;[0716]
6035;0300-0400;;BTN;Bhutan BS;SHC;BTN;;1;;
6035;0400-0500;;BTN;Bhutan BS;NE;BTN;;1;;[0814]
6035;0500-0600;;BTN;Bhutan BS;E;BTN;;1;;
6035;0600-0700;;BTN;Bhutan BS;SHC;BTN;;1;;
6035;0700-0800;;BTN;Bhutan BS;DZ;BTN;;1;;
6035;0800-1228;;BTN;Bhutan BS;E;BTN;;6;2703;3006
6035;0800-1240;;BTN;Bhutan BS;E;BTN;;1;0107;[0816]
6035;0800-1319;;BTN;Bhutan BS;E;BTN;;6;1307;1307
6035;1228-1328;;BTN;Bhutan BS;E;BTN;;6;2606;2606
6035;2100-2400;;BTN;Bhutan BS;DZ;BTN;;6;2705;2705
6035;0945-1100;;CHN;PBS Yunnan Shangri-La;VN;CHN;kl;1;;[0416]
6035;1100-1200;;CHN;PBS Yunnan Shangri-La;M;CHN;kl;1;;[0716]
6035;1200-1300;;CHN;PBS Yunnan Shangri-La;VN;CHN;kl;6;2703;0405
6035;1200-1308;;CHN;PBS Yunnan Shangri-La;-MX;CHN;kl;6;0406;0406
6035;1300-1415;;CHN;PBS Yunnan Shangri-La;M;CHN;kl;6;2703;0405[0416]
6035;2230-2330;;CHN;PBS Yunnan Shangri-La;M;CHN;kl;1;;[0114]
6035;2330-0130;;CHN;PBS Yunnan Shangri-La;VN;CHN;kl;1;;[0114]
6035;2130-2145;;G;BBC;E;ATA;/UAE;6;1406;1406
6035;2130-2200;;G;BBC;E;ATA;/UAE;6;2106;2106
6035;0500-0530;;USA;Voice of America;HA;WAf;/ASC;0;;
6035;2030-2100;Mo-Sa;USA;Voice of America;HA;WAf;/STP;0;;
6040.8;0000-2400;;B;RB2 R.Clube Paranaense;P;B;c2;1;;[0716]
6040;1400-1500;;CHN;China Radio Int.;M;SEA;x;0;;
6040;2055-2300;;CHN;CNR 2 China Business R.;M;CHN;B;5;;
6040;2055-0030;;CHN;CNR 2 China Business R.;M;CHN;B;4;;
6040;2150-1605;;CHN;PBS Nei Menggu;MO;CHN;hh;1;;[0516]
6040;0000-0300;Su;HOL;Mighty KBC Radio;E;NAm;/D-n;6;2703;3004
6040;0446-0915;;IND;AIR Jeypore;OR;SAs;je;8;;
6040;0400-0600;;TUR;Voice of Turkey;TU;ME;e;0;;
6040;0000-0030;;USA;Voice of America;BR;SEA;/THA-u;0;;
6040;1630-1700;Mo-Fr;USA;Voice of America;AH;EAf;/BOT;6;0306;3010
6040;2330-2400;;USA;Voice of America;BR;SEA;/THA-u;0;;
6045;0300-0400;;D;Deutsche Welle;SWA;EAf;/AFS;0;;
6045;0800-0900;;D;Radio 700 Radiomenschen;D;CEu;n;6;2905;2905
6045;0800-0900;;D;Radio 700 Radiomenschen;D;CEu;n;6;2606;2606
6045;0800-0900;;G;European Music Radio;E;WEu;/D-n;6;1906;1906
6045;0800-0900;16Oct;G;European Music Radio;E;WEu;/D-n;6;1609;1610
6045;0800-0900;;XUU;Hit AM;E;WEu;/D-n;6;1408;1408
6050;0000-0030;;CHN;China National Radio 1;M;CHN;t;1;;
6050;1030-1100;;CHN;China National Radio 1;M;CHN;t;1;;
6050;2230-2300;;CHN;China National Radio 1;M;CHN;t;1;;
6050;0030-0300;;CHN;PBS Xizang;M;CHN;t;1;;
6050;0300-0600;;CHN;PBS Xizang;M;CHN;t;1;;
6050;0600-0900;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
6050;0900-1000;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
6050;1000-1030;;CHN;PBS Xizang;M;CHN;t;1;;
6050;1100-1800;;CHN;PBS Xizang;M;CHN;t;1;;
6050;2000-2100;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
6050;2100-2230;;CHN;PBS Xizang;M;CHN;t;1;;
6050;2300-2400;;CHN;PBS Xizang;M;CHN;t;1;;
6050;0000-0030;;EQA;HCJB Voice of Andes;COF;SAm;c;1;;
6050;0030-0100;Su-Th;EQA;HCJB Voice of Andes;Q;SAm;c;1;;
6050;0030-0300;Fr-Sa;EQA;HCJB Voice of Andes;WAO;SAm;c;1;;
6050;0100-0130;Su-Th;EQA;HCJB Voice of Andes;WAO;SAm;c;1;;
6050;0100-0300;Fr-Sa;EQA;HCJB Voice of Andes;Q;SAm;c;1;;
6050;0130-0300;Su-Th;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;0300-0400;;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;0400-0430;;EQA;HCJB Voice of Andes;E;SAm;c;6;0105;2605
6050;0400-0430;;EQA;HCJB Voice of Andes;D;SAm;c;1;2705;
6050;0430-0500;;EQA;HCJB Voice of Andes;D;SAm;c;6;0105;2605
6050;0430-0500;;EQA;HCJB Voice of Andes;E;SAm;c;1;2705;
6050;0825-1100;;EQA;HCJB Voice of Andes;Q;SAm;c;1;;
6050;1100-1130;Fr-Sa;EQA;HCJB Voice of Andes;Q;SAm;c;1;;
6050;1100-1130;Su-Th;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;1130-1500;;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;1900-2130;;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;2130-2200;Su-Th;EQA;HCJB Voice of Andes;CHA;SAm;c;1;;
6050;2130-2200;Fr-Sa;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;2200-2330;;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;2330-2400;Fr-Sa;EQA;HCJB Voice of Andes;S;SAm;c;1;;
6050;2330-2400;Su-Th;EQA;HCJB Voice of Andes;SUA;SAm;c;1;;
6050;0526-1000;;LBR;ELWA Radio;E;WAf;;1;;[0816]
6050;1800-2400;;LBR;ELWA Radio;E;WAf;;1;;[0516]
6050;0500-1500;;MLA;RTM Asyik FM;Vn;MLA;ka;1;;[0416]
6055;0830-2200;;BOL;Radio Fides;S;BOL;;1;;[1015]
6055;1400-1500;;CHN;China Radio Int.;KH;SEA;n;0;;
6055;1800-2000;;CHN;China Radio Int.;F;NAf;/ALB-c;0;;
6055;1030-1100;SaSu;D;Evang.Missionsgemeinden;D;Eu;n;2;;
6055;0830-0900;Sa;J;Radio Nikkei 1;E;FE;c;1;;
6055;1330-1400;Th;J;Radio Nikkei 1;E;FE;c;1;;[0216]
6055;2155-1500;;J;Radio Nikkei 1;J;FE;c;1;;[0516]
6055;1400-1500;;USA;Adventist World Radio;MSY;EAf;/MDG;0;;
6059.8;0000-2400;;B;Super Rádio Deus é Amor;P;SAm;cu;1;;[0516]
6060;1600-1700;;CHN;China Radio Int.;E;SEA;k;0;;
6060;1700-1800;;CHN;China Radio Int.;E;SEA;k;0;;
6060;1000-1515;;CHN;PBS Sichuan 2;M;CHN;xc;1;;[0716]
6060;2155-0135;;CHN;PBS Sichuan 2;M;CHN;xc;1;;[0616]
6060;0000-0100;;CUB;Radio Habana Cuba;S;ENA;b;1;;
6060;0100-0200;;CUB;Radio Habana Cuba;S;ENA;b;1;;
6060;0200-0400;;CUB;Radio Habana Cuba;S;ENA;b;5;;
6060;0200-0500;;CUB;Radio Habana Cuba;S;ENA;b;4;;
6060;0400-0500;;CUB;Radio Habana Cuba;S;ENA;b;5;;
6060;0500-0600;;CUB;Radio Habana Cuba;E;ENA;b;1;;
6060;0600-0700;;CUB;Radio Habana Cuba;E;ENA;b;1;;
6060;0000-2400;;S;Radio Nord Revival;SWE;Eu;s;6;2005;2205
6060;1100-1200;;S;Radio Nord Revival;SWE;Eu;s;6;3004;3004
6060;1315-2400;;S;Radio Sala;SWE;Eu;s;6;3004;3004
6060;1200-1300;;S;Sveriges DX-Förbund;SWE;Eu;s;6;3004;3004
6065;1200-1605;;CHN;CNR 2 China Business R.;M;CHN;B;1;;
6065;2055-2230;;CHN;CNR 2 China Business R.;M;CHN;B;5;;
6065;2055-2330;;CHN;CNR 2 China Business R.;M;CHN;B;4;;
6065;0300-0400;;USA;Adventist World Radio;MSY;EAf;/MDG;0;;
6065;1700-1800;;USA;Voice of America;ZWE;ZWE;/BOT;0;;
6065;1800-1900;Mo-Fr;USA;Voice of America;ZWE;ZWE;/STP;0;;
6065;0550-0800;Tests;ZMB;Voice of Hope Africa;E;SAf;m;8;;[0316]
6065;1400-1600;Tests;ZMB;Voice of Hope Africa;E;SAf;m;8;;
6067;0000-0230;Su;ARG;Radio Nacional Argentina;S;SAm;g;1;;[0214]
6067;0000-0300;Mo;ARG;Radio Nacional Argentina;S;SAm;g;1;;
6067;1800-2400;SaSu;ARG;Radio Nacional Argentina;S;SAm;g;1;;[0914]
6067;1000-1100;Mo-Fr;ARG;R.Argentina al Exterior;M;FE;g;1;;[0615]
6067;1100-1200;Mo-Fr;ARG;R.Argentina al Exterior;J;FE;g;1;;
6067;1200-1300;Mo-Fr;ARG;R.Argentina al Exterior;P;Am;g;1;;[0414]
6067;1300-1500;Mo-Fr;ARG;R.Argentina al Exterior;S;Am;g;1;;
6067;2200-2400;Mo-Fr;ARG;R.Argentina al Exterior;S;SAm;g;1;;[0915]
6070;2200-2400;26Aug;ALS;Paul Walker Broadc.;E;CEu;/D-r;6;0208;2608
6070;0000-2400;;CAN;CFRX Toronto, CFRB 1010;E;NAm;t;1;;[0716]
6070;0530-0600;;CVA;Radio Vaticana;L;SEu;;6;2703;3107
6070;0530-0610;Su;CVA;Radio Vaticana;L;SEu;;5;;
6070;0600-0610;Su;CVA;Radio Vaticana;L;SEu;;6;2703;3107
6070;0630-0710;Su;CVA;Radio Vaticana;L;CEu;;4;;
6070;0630-0710;Su;CVA;Radio Vaticana;L;WEu;;4;;
6070;1700-1830;;CVA;Radio Vaticana;P;WEu;;6;3107;3107
6070;1840-1900;;CVA;Radio Vaticana;Ros;SEu;;6;2703;3107
6070;1840-1900;Su;CVA;Radio Vaticana;Ros;SEu;;5;;
6070;1840-1910;1.Sa;CVA;Radio Vaticana;Ros;SEu;;6;2703;3107
6070;1940-2000;Su;CVA;Radio Vaticana;Ros;Eu;;4;;
6070;2040-2100;;CVA;Radio Vaticana;A;NAf;;2;;
6070;2140-2200;;CVA;Radio Vaticana;A;EGY;;4;;
6070;0000-2400;;D;Channel 292;D,E;Eu;r;1;;
6070;0900-1000;Su;D;Radio DARC;D;Eu;/AUT;2;;
6070;1500-1600;Mo;D;Radio DARC;D;Eu;r;2;;
6070;1900-2000;Mo;D;Radio DARC;D;Eu;r;2;;
6070;0500-1700;;E;Radio MiAmigo;;CEu;/D-r;6;0508;0508
6070;0500-1800;;E;Radio MiAmigo;;CEu;/D-r;6;0408;0408
6070;1100-1900;7Aug;E;Radio MiAmigo;;CEu;/D-r;6;0708;0708
6070;1200-1700;;E;Radio MiAmigo;;CEu;/D-r;6;0608;0608
6070;2000-2300;7Aug;E;Radio MiAmigo;;CEu;/D-r;6;0708;0708
6070;0700-0800;;F;Radio Atlantic 2000;E;Eu;/D-r;6;1206;1206
6070;1900-2000;;F;Radio Atlantic 2000;E;Eu;/D-r;6;1206;1206
6070;1900-2000;;G;European Music Radio;E;Eu;/D-r;6;1906;1906
6070;1900-2000;16Oct;G;European Music Radio;E;Eu;/D-r;6;1609;1610
6070;2000-2200;;I;Italian Broadc.Corp.;I;Eu;/D-r;2;0106;
6070;0930-1330;;KRE;Voice of Korea;J;J;k;1;;
6070;2000-2030;;USA;Voice of America;F;Af;/STP;0;;
6075;0000-0100;;CHN;China Radio Int.;E;SAs;ka;0;;
6075;1400-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
6075;2200-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;5;;
6075;2300-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
6075;1400-1700;;TWN;Radio Taiwan Int.;M;CHN;k;1;;
6075;2200-2400;;TWN;Radio Taiwan Int.;M;CHN;k;5;;
6075;2300-2400;;USA;Radio Free Asia;TB;FE;/KWT;0;;
6075;0400-0500;;USA;Radio Liberty;BY;EEu;/D-b;6;2703;2506
6080;0800-2300;;B;Rádio Marumby;P;SAm;ca;3;;[0716]
6080;2300-0800;;B;Rádio Marumby;P;SAm;ca;3;;[0216]
6080;1500-1700;;BLR;Belaruskoye Radio 1;BY;EEu;;6;2703;3103
6080;1700-2100;;BLR;Belaruskoye Radio 1;BY;EEu;;6;2703;3103
6080;1100-1805;;CHN;China National Radio 1;M;CHN;q;5;;
6080;1200-1805;;CHN;China National Radio 1;M;CHN;q;4;;
6080;2023-2400;;CHN;China National Radio 1;M;CHN;q;5;;
6080;2023-0100;;CHN;China National Radio 1;M;CHN;q;4;;
6080;0935-1440;;CHN;PBS Hulun Buir;MO;CHN;ha;1;;
6080;2150-0530;;CHN;PBS Hulun Buir;MO;CHN;ha;1;;
6080;0300-0400;;USA;Voice of America;E;Af;/BOT;0;;
6080;0400-0700;;USA;Voice of America;E;Af;/STP;0;;
6080;1400-1600;;USA;Voice of America;E;EAf;/BOT;0;;
6080;1600-1630;;USA;Voice of America;E;EAf;/STP;0;;
6080;1630-1700;SaSu;USA;Voice of America;E;EAf;/STP;6;2703;0206
6080;1630-1700;SaSu;USA;Voice of America;E;EAf;/BOT;6;0306;3010
6080;1630-1700;Mo-Fr;USA;Voice of America;AH;WAf;/STP;6;2703;0206
6080;1700-1730;;USA;Voice of America;E;Af;/AFS;0;;
6080;1730-1800;;USA;Voice of America;E;EAf;/STP;0;;
6080;1800-1830;;USA;Voice of America;E;Af;/BOT;0;;
6080;1830-2000;;USA;Voice of America;E;Af;/BOT;0;;
6085;0415-1030;irr;IND;AIR Gangtok;NE;SAs;gt;1;;
6090;0000-2400;;B;Rádio Bandeirantes, SP;P;B;sb;1;;[0716]
6090;1900-1930;;CHN;China Radio Int.;RO;EEu;u;0;;
6090;1930-2000;;CHN;China Radio Int.;RO;EEu;u;0;;
6090;1000-1605;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
6090;1100-1605;;CHN;CNR 2 China Business R.;M;CHN;q;5;;
6090;2055-0100;;CHN;CNR 2 China Business R.;M;CHN;q;5;;
6090;2055-0300;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
6090;0255-0600;;ETH;Amhara State Radio;AH;EAf;;1;;[0716]
6090;0900-1100;;ETH;Amhara State Radio;AH;EAf;;1;;
6090;1400-2100;;ETH;Amhara State Radio;AH;EAf;;1;;[0816]
6090;0900-0930;;J;NHK Radio Japan;M;FE;y;0;;
6090;1100-1130;;J;NHK Radio Japan;R;FE;y;0;;
6090;1130-1200;;J;NHK Radio Japan;K;FE;y;0;;
6090;1200-1230;;J;NHK Radio Japan;M;FE;y;0;;
6090;1600-1630;137;J;Shiokaze;J;KRE;y;6;2704;3005
6090;1600-1630;Fr,Sa;J;Shiokaze;K;KRE;y;6;2704;3005
6090;1600-1630;Tu;J;Shiokaze;M;KRE;y;6;2704;3005
6090;1600-1700;Th;J;Shiokaze;E;KRE;y;6;2704;3005
6090;1630-1700;136;J;Shiokaze;J;KRE;y;6;2704;3005
6090;1630-1700;257;J;Shiokaze;K;KRE;y;6;2704;3005
6090;0300-0500;Ram;NIG;Radio Nigeria Kaduna;HA;WAf;k;5;;[0714]
6090;0500-2300;;NIG;Radio Nigeria Kaduna;HA;WAf;k;1;;[0616]
6090;0000-2400;plan;PRU;Planned Station;S;PRU;in;8;;
6090;2200-1000;irr;USA;Dr.Gene Scott;E;NAm;/AIA;1;;[0716]
6095;1800-1830;;G;BBC;F;MDG;/AFS;0;;
6095;0800-1000;3.Su;HOL;Mighty KBC Radio;E;WEu;/D-n;6;1704;3006
6095;1000-1100;;KOR;KBS World Radio;J;FE;k;4;;
6095;1130-1230;;KOR;KBS World Radio;M;CHN;k;1;;
6095;1230-1330;;KOR;KBS World Radio;E;CHN;k;1;;
6100;1200-1300;;CHN;China Radio Int.;R;Sib;b;0;;
6100;1300-1400;;CHN;China Radio Int.;MO;MNG;u;0;;
6100;2000-2200;;CHN;China Radio Int.;A;NAf;x;0;;
6100;2200-2300;;CHN;China Radio Int.;M;SEA;k;0;;
6100;0730-0810;;CLA;Radio Sedaye Kashmir;KS;SAs;/IND-d;1;;
6100;0810-0830;;CLA;Radio Sedaye Kashmir;DO;SAs;/IND-d;1;;
6100;0500-0600;;CUB;Radio Habana Cuba;E;WNA;b;1;;
6100;0600-0700;;CUB;Radio Habana Cuba;E;WNA;b;1;;
6100;0700-0730;Su;CUB;Radio Habana Cuba;EO;WNA;b;1;;
6100;0900-1200;;IND;AIR Vividh Bharati;HI;SAs;k;1;;
6100;1330-1830;;KRE;KCBS Pyongyang;K;KRE;k;1;;[0815]
6100;2030-0905;;KRE;KCBS Pyongyang;K;KRE;k;1;;
6105;0945-2308;;B;RádioCultura Filadelfia;P;B;f;3;;[0515]
6105.3;0100-0300;Tu-Sa;BOL;Radio Panamericana;S;BOL;p;1;;
6105.3;1030-0100;;BOL;Radio Panamericana;S;BOL;p;1;;[0316]
6105;1000-1200;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
6105;1200-1300;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
6105;1300-1400;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
6105;2200-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
6105;1420-1820;;IRN;IRIB Voice of I.R.Iran;TK;CAs;s;6;0205;3010
6105;0000-2400;irr;S;Radio Nord Revival;SWE;Eu;s;6;2005;2205
6105;1000-1200;;TWN;Radio Taiwan Int.;M;FE;k;1;;
6105;1200-1230;;TWN;Radio Taiwan Int.;CA;FE;k;1;;
6105;1230-1300;;TWN;Radio Taiwan Int.;HK;FE;k;1;;
6105;1300-1400;;TWN;Radio Taiwan Int.;M;FE;k;1;;
6105;2200-2400;;TWN;Radio Taiwan Int.;M;FE;k;1;;
6105;0400-0500;;USA;Radio Liberty;BY;EEu;/D-L;6;2703;2506
6110;2300-2400;;CHN;China National Radio 11;TB;CHN;t;1;;
6110;1900-2000;;CHN;China Radio Int.;R;CAs;x;0;;
6110;1100-1500;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
6110;0000-0200;;CHN;PBS Xizang;TB;CHN;t;1;;
6110;0200-0700;;CHN;PBS Xizang;TB;CHN;t;1;;
6110;0700-0800;We-Mo;CHN;PBS Xizang;E;CHN;t;1;;
6110;0800-1000;We-Mo;CHN;PBS Xizang;TB;CHN;t;1;;
6110;1000-1600;;CHN;PBS Xizang;TB;CHN;t;1;;
6110;1600-1700;;CHN;PBS Xizang;E;CHN;t;1;;
6110;1700-1805;;CHN;PBS Xizang;TB;CHN;t;1;;
6110;2050-2300;;CHN;PBS Xizang;TB;CHN;t;1;;
6110;0250-0530;;ETH;Radio Fana;AH;EAf;a;1;;[0516]
6110;0530-0800;SaSu;ETH;Radio Fana;AH;EAf;a;1;;
6110;0900-1100;;ETH;Radio Fana;AH;EAf;a;1;;
6110;1200-1400;SaSu;ETH;Radio Fana;AH;EAf;a;1;;
6110;1500-2101;;ETH;Radio Fana;AH;EAf;a;1;;[0816]
6110;0245-0300;;IND;AIR Delhi;E;SAs;sr;1;;
6110;0225-1115;;IND;AIR Srinagar;KS;SAs;sr;1;;[1215]
6110;1100-1300;;USA;Voice of America;M;FE;/THA-u;0;;
6110;1300-1500;;USA;Voice of America;M;FE;/PHL-t;0;;
6115;0940-1000;Th-Tu;CHN;Voice of Strait;AM;FE;gu;1;;
6115;1000-1030;;CHN;Voice of Strait;AM;FE;gu;1;;[0616]
6115;1030-1057;;CHN;Voice of Strait;M;FE;gu;1;;[0716]
6115;1057-1430;;CHN;Voice of Strait;AM;FE;gu;1;;[0215]
6115;1430-1500;;CHN;Voice of Strait;HK;FE;gu;1;;[1015]
6115;1500-1600;;CHN;Voice of Strait;AM;FE;gu;1;;[0216]
6115;0500-0830;;COG;Radio Congo;F;CAf;b;1;;[0816]
6115;1600-1845;;COG;Radio Congo;F;CAf;b;1;;[0816]
6115;1845-1925;Olymp;COG;Radio Congo;F;CAf;b;6;0508;3108[0816]
6115;0900-1400;Mo-Fr;J;Radio Nikkei 2;J;FE;c;1;;[1014]
6115;2300-0900;;J;Radio Nikkei 2;J;FE;c;1;;[0416]
6115;2100-2300;;PHL;Radio Veritas Asia;M;FE;p;0;;
6115;2200-0100;;USA;WWCR 1 Nashville, TN;E;NAm;n;0;;
6120;1200-1000;;B;Super Rádio Deus é Amor;P;SAm;sg;3;;[0616]
6120;0000-0030;;CHN;China National Radio 13;UI;CHN;uc;1;;
6120;0030-0300;;CHN;PBS Xinjiang;UI;CHN;uc;1;;
6120;1200-1230;;CHN;PBS Xinjiang;UI;CHN;uc;1;;
6120;1230-1800;;CHN;PBS Xinjiang;UI;CHN;uc;1;;
6120;2310-2400;;CHN;PBS Xinjiang;UI;CHN;uc;1;;
6120;0500-0600;;SWZ;Trans World Radio;E;SAf;;4;;
6120;0600-0800;;SWZ;Trans World Radio;E;SAf;;1;;
6125;1000-1805;;CHN;China National Radio 1;M;CHN;s;4;;
6125;1000-1805;;CHN;China National Radio 1;M;CHN;b;1;;
6125;1100-1805;;CHN;China National Radio 1;M;CHN;s;5;;
6125;2023-2300;;CHN;China National Radio 1;M;CHN;b;1;;
6125;2023-2300;;CHN;China National Radio 1;M;CHN;s;5;;
6125;2023-0100;;CHN;China National Radio 1;M;CHN;s;4;;
6125;0600-0942;;INS;RRI Nabire;IN;INS;n;1;;[0316]
6125;0810-0830;Fr;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0105;3108[0814]
6125;0230-0300;;S;IBRA Radio;DR;AFG;/UAE;0;;
6130;2300-2400;;CHN;China National Radio 11;TB;CHN;t;1;;
6130;0000-0200;;CHN;PBS Xizang;TB;CHN;t;1;;
6130;0200-0700;;CHN;PBS Xizang;TB;CHN;t;1;;
6130;0700-0800;We-Mo;CHN;PBS Xizang;E;CHN;t;1;;
6130;0800-1000;We-Mo;CHN;PBS Xizang;TB;CHN;t;1;;
6130;1000-1600;;CHN;PBS Xizang;TB;CHN;t;1;;
6130;1600-1700;;CHN;PBS Xizang;E;CHN;t;1;;
6130;1700-1805;;CHN;PBS Xizang;TB;CHN;t;1;;
6130;2050-2300;;CHN;PBS Xizang;TB;CHN;t;1;;
6130;1730-1900;Su;G;Bible Voice;E;EEu;/D-n;0;;
6130;1800-1815;Fr;G;Bible Voice;R;EEu;/D-n;6;2703;0405
6130;1800-1815;Th;G;Bible Voice;UK;EEu;/D-n;6;2703;0405
6130;1800-1830;Tu;G;Bible Voice;R;EEu;/D-n;6;2703;0405
6130;0630-0700;;LAO;Lao National Radio;HM;SEA;v;1;;[0216]
6130;0700-0730;;LAO;Lao National Radio;KHM;SEA;v;1;;[0116]
6130;0730-1330;;LAO;Lao National Radio;LAO;SEA;v;1;;[0516]
6130;1330-1400;;LAO;Lao National Radio;KH;SEA;v;1;;
6130;1400-1430;;LAO;Lao National Radio;M;SEA;v;1;;
6130;1430-1500;;LAO;Lao National Radio;E;SEA;v;1;;
6130;1500-1530;;LAO;Lao National Radio;F;SEA;v;1;;
6130;1530-1600;;LAO;Lao National Radio;T;SEA;v;1;;
6130;1600-1630;;LAO;Lao National Radio;VN;SEA;v;1;;
6130;1630-1632;;LAO;Lao National Radio;LAO;SEA;v;1;;
6130;2100-2200;;LAO;Lao National Radio;M;SEA;v;1;;
6130;2200-2230;;LAO;Lao National Radio;HM;SEA;v;1;;[0814]
6130;2230-2300;;LAO;Lao National Radio;KHM;SEA;v;1;;[0814]
6130;2300-0630;;LAO;Lao National Radio;LAO;SEA;v;1;;[0416]
6130;1820-1850;Mo-Fr;SWZ;Trans World Radio;UM;AGL;;1;;
6130;1835-1850;Sa;SWZ;Trans World Radio;P;AGL;;1;;
